X,Y,Target
-27.319973,19.28551,1
-18.050123,-34.956245,1
6.973186,-16.802814,1
-8.760523,-40.723125,1
7.0313606,-17.049011,1
6.057826,-9.133038,1
-0.881421,1.7886285,1
14.292142,1.2534252,1
6.7054186,-7.9733615,1
-23.227789,-35.81008,1
-21.297253,-24.810036,1
56.01699,26.645782,1
22.562223,32.939323,1
39.200005,-24.336842,1
6.9266148,-9.580456,1
-27.536238,20.043543,1
-19.064505,-32.52515,1
22.562223,32.939323,1
5.2354546,-23.97341,1
42.63855,-10.868372,1
42.90659,-6.450897,1
-7.5279045,-41.994198,1
-1.3150012,2.1450002,1
-7.5464005,-41.445488,1
20.293083,7.745307,1
23.10051,36.00154,1
5.003555,-10.79609,1
-15.985064,-31.84517,1
40.738426,-20.334253,1
-27.16467,15.297249,0
-6.8880644,31.782751,1
-4.8679676,2.9348204,1
40.738426,-20.334253,1
1.7266155,18.882235,1
-4.081557,5.323826,1
41.06409,-20.930996,1
-25.4357,22.106491,1
47.047028,-6.4975443,1
6.5054245,-20.440243,1
-6.204461,-44.536953,1
41.93933,-6.613282,1
20.293095,7.7457047,1
35.302002,-23.307709,1
41.93933,-6.613282,1
-10.259824,-15.440018,1
1.5823134,11.94638,0
-7.775418,-13.993302,1
-12.857833,-28.640171,1
-11.297206,-13.145351,1
-6.041984,41.95897,1
-5.107875,40.628986,1
24.550879,36.661297,1
-33.047993,11.3167515,1
-24.659904,-15.375937,1
-8.282264,-45.506718,1
-16.998415,14.359924,1
-5.039743,41.214993,1
20.836021,-0.6553839,1
-22.108318,-12.487962,1
-6.0234118,-44.83212,1
6.2558093,-24.21176,1
-32.344875,12.52296,1
-4.5881605,10.586988,1
-6.152718,41.434944,1
-5.107875,40.628986,1
-6.0879183,-45.723366,1
6.30838,-20.90089,1
-5.299486,41.764862,1
-5.372098,-45.293858,1
29.457163,2.8477163,1
-31.420156,11.047958,1
-13.075397,12.709427,1
-23.89106,-33.21417,1
-33.040936,11.789278,1
-6.041984,41.95897,1
56.01699,26.645782,1
-6.041984,41.95897,1
22.401327,36.88443,1
22.401327,36.88443,1
39.707726,-22.191807,1
-13.895142,-28.967773,1
-5.872617,41.030773,1
-8.768146,14.81009,1
23.142681,34.90493,1
-5.872617,41.030773,1
-19.406637,-11.612776,1
-5.872617,41.030773,1
24.140596,3.141735,1
40.53931,-22.571285,1
-1.9105908,-17.848595,1
16.69206,3.572717,1
3.7136633,-15.52493,1
40.89758,-12.139559,1
-24.381596,-13.620461,1
-29.864174,11.212427,1
-19.116278,-10.287563,0
21.788734,35.450832,1
40.6257,-20.932442,1
38.486305,-19.356443,1
16.743212,6.177818,1
-1.7762226,-18.253311,1
34.19795,-10.269252,1
-5.5762267,40.198902,1
23.25017,35.820004,1
-9.110543,17.412554,1
29.39183,2.1738281,1
5.590316,24.335669,1
-4.6957917,19.10286,1
56.01699,26.645782,1
-5.053748,10.011705,1
-6.1873264,23.09808,1
-6.2103176,23.61588,0
-19.00761,-9.485203,1
5.0631447,23.92772,1
-17.86613,-34.90912,1
6.8197308,-6.592366,1
-26.863417,14.824035,1
-30.959501,12.230456,1
3.589931,-12.653865,1
-4.509225,-44.8187,1
-27.483253,20.05823,1
6.9606423,-16.929846,1
-17.803888,-35.422832,1
40.738426,-20.334253,1
-5.050302,-45.243946,1
22.562223,32.939323,1
5.66376,-10.638644,1
-27.505222,19.355463,1
-27.70408,19.669727,1
39.72105,-24.373405,1
-27.417152,14.52695,1
-20.241302,-31.696598,0
5.5689626,23.073957,1
-27.027697,19.935808,0
-22.245195,-35.072796,1
6.604296,-12.764296,1
-17.182453,-33.843758,0
49.002106,-6.879305,1
47.997013,-7.251878,0
2.1077724,-14.551347,1
20.619867,5.307789,1
-16.699844,13.726233,1
-31.609842,12.676663,1
22.041342,0.38384816,1
-12.346691,-19.338713,1
-32.70523,12.167703,1
-28.08621,23.900078,1
5.421802,-15.964694,1
-12.894874,-28.595871,1
-20.129765,-23.325912,1
-22.393324,15.74915,1
7.039205,-24.088757,0
6.724253,-23.822206,0
-6.3396945,-45.199894,1
-6.3396945,-45.199894,1
-20.091406,15.768303,1
14.129022,-0.87404776,1
-21.900274,-33.683037,0
-5.0720625,2.843782,1
22.508993,32.464653,1
23.123095,3.0125878,1
-19.318302,-12.433236,1
46.467396,-7.3239803,1
-23.95943,-34.849293,1
17.300638,6.3058157,1
-10.272945,-24.477272,1
2.5810835,18.540783,1
7.211981,-10.691966,1
-22.659494,-14.627963,1
-0.971576,-17.06354,1
23.058832,4.736108,1
2.6098793,-18.944508,1
-23.692877,-13.762886,1
-15.66457,-29.52087,0
-8.864532,35.323387,1
14.122543,-0.8650052,1
-4.5540094,19.070274,1
-0.10704477,9.757695,0
56.01699,26.645782,1
6.3693733,-22.228977,1
-31.50481,11.429959,1
38.910286,-24.7128,0
48.081997,-8.006269,1
-31.991283,11.6815605,1
-31.616468,11.8087225,1
-16.693777,-32.41634,1
-10.574687,11.625951,1
-12.327529,-18.775194,1
42.12539,-6.18963,1
-4.3389845,-46.144848,1
-16.165995,14.012117,1
-21.229147,-24.243893,0
-9.743313,14.906586,1
-22.360569,-33.775536,1
-5.577206,10.971258,1
